id_registo,data_registo,unidade_organizacional,tipo_servico,indicador_si,taxa_resolucao,tempo_resposta,satisfacao_cidadao,volume_interacoes,canal_utilizado,taxa_abandono,erros_tecnicos,transparencia,feedback_cidadao,segmentacao_utilizador,area_tematica,indicador_kpi
1,2024-04-12,Direcção de Serviços Financeiros,Telefone,83.02,87.37,36,3.8,368,presencial,22.41,7,Sim,Processo complicado,Empresa,Cultura,63.13
2,2024-12-14,Departamento de Inovação e Digitalização,Balcão Único,75.53,89.71,29,4.1,349,email,14.87,1,Sim,Bom serviço,Funcionário Público,Saúde,63.58
3,2024-09-27,Direcção de Recursos Humanos,Chatbot,85.73,75.96,38,3.3,398,telefone,15.42,5,Não,Processo complicado,Estudante,Inovação,73.64
4,2024-04-16,Departamento de Planeamento Estratégico,Email,78.33,73.82,57,3.4,74,aplicacao_movel,15.32,11,Sim,Processo complicado,Funcionário Público,Digitalização,99.19
5,2024-03-12,Direcção de Recursos Humanos,Atendimento Presencial,81.82,70.41,97,4.7,487,portal,7.47,4,Sim,Serviço eficiente,Cidadão,Saúde,63.45
6,2024-07-07,Serviços de Educação,Telefone,97.66,79.82,101,4.9,186,chatbot,23.38,12,Não,Muito satisfeito,Reforma/Pensionista,Mobilidade,70.35
7,2024-01-21,Direcção de Recursos Humanos,Telefone,75.44,86.52,27,3.7,12,chatbot,23.68,9,Sim,Muito satisfeito,Reforma/Pensionista,Social,94.57
8,2024-04-12,Departamento de Inovação e Digitalização,Atendimento Presencial,98.45,80.98,55,3.5,438,chatbot,15.63,8,Sim,Falta de informação,Reforma/Pensionista,Social,50.15
9,2024-05-01,Direcção de Recursos Humanos,Balcão Único,96.21,82.25,33,4.3,151,email,19.59,11,Sim,Precisa melhorias,Estudante,Saúde,51.99
10,2024-08-02,Direcção de Serviços Financeiros,Telefone,67.83,95.32,68,3.8,385,presencial,15.31,4,Sim,Serviço eficiente,Reforma/Pensionista,Cultura,80.2
11,2024-11-26,Direcção de Serviços Financeiros,Serviços Digitais,62.77,79.75,86,3.1,167,telefone,12.11,1,Sim,Falta de informação,Cidadão,Digitalização,95.37
12,2024-03-28,Gabinete de Atendimento ao Cidadão,Chatbot,64.03,84.39,66,3.3,333,portal,16.52,4,Não,Excelente atendimento,Funcionário Público,Educação,61.94
13,2024-04-09,Serviços de TI,Email,60.73,91.94,10,4.4,155,aplicacao_movel,13.83,14,Sim,Precisa melhorias,Estudante,Educação,73.48
14,2024-12-25,Departamento de Saúde Pública,Atendimento Presencial,63.78,81.1,5,4.3,455,portal,14.94,11,Sim,Precisa melhorias,Funcionário Público,Mobilidade,72.52
15,2024-05-31,Departamento de Planeamento Estratégico,Email,87.32,87.42,74,3.1,302,aplicacao_movel,19.6,3,Sim,Tempo de espera elevado,Estudante,Cultura,73.65
16,2024-05-10,Serviços de Educação,Serviços Digitais,62.85,94.15,97,3.4,162,email,12.02,14,Sim,Tempo de espera elevado,Funcionário Público,Ambiente,81.13
17,2024-05-29,Direcção de Recursos Humanos,Telefone,72.76,96.59,118,3.5,441,chatbot,1.02,10,Sim,Resposta rápida e eficaz,Empresa,Ambiente,73.49
18,2024-11-04,Direcção de Recursos Humanos,Telefone,93.8,74.12,38,4.3,202,email,4.1,6,Sim,Resposta rápida e eficaz,Funcionário Público,Inovação,72.37
19,2024-09-14,Departamento de Inovação e Digitalização,Serviços Digitais,60.93,95.94,13,3.0,446,presencial,10.97,5,Não,Processo complicado,Reforma/Pensionista,Digitalização,73.71
20,2024-12-09,Serviços de TI,Atendimento Presencial,92.58,83.78,31,3.2,472,presencial,18.12,13,Sim,Excelente atendimento,Empresa,Digitalização,79.54
21,2024-10-20,Direcção de Serviços Financeiros,Chatbot,71.27,77.23,47,4.6,82,aplicacao_movel,14.83,1,Sim,Sistema lento,Funcionário Público,Social,76.85
22,2024-07-10,Departamento de Planeamento Estratégico,Portal Online,64.73,82.86,100,3.4,408,telefone,16.26,11,Sim,Sistema lento,Estudante,Habitação,92.71
23,2024-10-03,Gabinete de Atendimento ao Cidadão,Atendimento Presencial,87.87,97.44,109,4.3,314,telefone,11.98,10,Sim,Tempo de espera elevado,Estudante,Mobilidade,52.47
24,2024-06-09,Direcção de Serviços Financeiros,Portal Online,85.16,83.79,88,3.5,386,aplicacao_movel,15.39,10,Sim,Tempo de espera elevado,Estudante,Educação,91.67
25,2024-11-09,Serviços de Educação,Serviços Digitais,95.1,79.21,52,3.2,353,presencial,8.23,12,Sim,Tempo de espera elevado,Utilizador Vulnerável,Mobilidade,92.2
26,2024-01-22,Serviços de TI,Balcão Único,89.4,87.74,56,3.5,461,presencial,11.75,4,Não,Serviço eficiente,Cidadão,Ambiente,64.25
27,2024-09-09,Serviços de Educação,Portal Online,92.14,76.72,15,4.4,149,presencial,18.61,6,Sim,Bom serviço,Estudante,Ambiente,73.14
28,2024-08-23,Departamento de Saúde Pública,Chatbot,71.28,72.12,29,4.7,196,email,21.8,10,Sim,Resposta rápida e eficaz,Empresa,Saúde,71.93
29,2024-12-10,Gabinete de Atendimento ao Cidadão,Balcão Único,67.1,73.61,8,4.7,302,presencial,10.84,6,Não,Serviço eficiente,Estudante,Inovação,60.93
30,2024-02-18,Departamento de Saúde Pública,Portal Online,90.02,73.59,5,3.8,70,portal,1.09,14,Não,Muito satisfeito,Utilizador Vulnerável,Digitalização,69.84
31,2024-02-28,Departamento de Inovação e Digitalização,Serviços Digitais,92.27,74.25,29,4.3,494,chatbot,4.04,4,Sim,Sistema lento,Reforma/Pensionista,Mobilidade,52.22
32,2024-06-18,Serviços de Educação,Balcão Único,99.62,73.89,47,3.4,436,presencial,0.52,11,Sim,Precisa melhorias,Empresa,Ambiente,63.89
33,2024-07-06,Departamento de Inovação e Digitalização,Serviços Digitais,76.5,87.94,68,3.6,389,aplicacao_movel,16.33,14,Sim,Resposta rápida e eficaz,Utilizador Vulnerável,Habitação,90.83
34,2024-09-27,Direcção de Recursos Humanos,Portal Online,74.88,75.09,76,4.8,207,chatbot,8.31,8,Não,Falta de informação,Reforma/Pensionista,Social,64.23
35,2024-07-08,Departamento de Saúde Pública,Serviços Digitais,91.06,79.68,45,3.0,304,email,13.56,3,Não,Muito satisfeito,Empresa,Educação,90.91
36,2024-06-23,Serviços de TI,Chatbot,73.63,95.11,2,3.2,449,aplicacao_movel,12.33,10,Sim,Resposta rápida e eficaz,Funcionário Público,Inovação,76.58
37,2024-02-20,Serviços de Educação,Portal Online,97.23,83.27,27,3.4,328,chatbot,2.04,2,Não,Serviço eficiente,Cidadão,Habitação,93.99
38,2024-12-29,Departamento de Planeamento Estratégico,Portal Online,94.34,88.69,95,3.1,311,aplicacao_movel,10.08,14,Sim,Excelente atendimento,Cidadão,Inovação,78.74
39,2024-02-24,Gabinete de Atendimento ao Cidadão,Portal Online,77.16,74.82,115,3.4,353,email,5.51,3,Sim,Precisa melhorias,Utilizador Vulnerável,Saúde,51.48
40,2024-08-31,Direcção de Serviços Financeiros,Atendimento Presencial,90.03,75.38,115,4.2,20,portal,10.46,4,Sim,Resposta rápida e eficaz,Reforma/Pensionista,Ambiente,83.77
41,2024-11-15,Serviços de TI,Atendimento Presencial,90.18,71.14,36,3.8,71,email,5.09,12,Não,Bom serviço,Cidadão,Social,52.24
42,2024-05-10,Serviços de TI,Atendimento Presencial,64.12,74.73,36,4.8,342,email,21.01,5,Sim,Tempo de espera elevado,Reforma/Pensionista,Habitação,72.53
43,2024-11-02,Departamento de Inovação e Digitalização,Chatbot,96.1,77.8,26,4.6,235,aplicacao_movel,4.35,2,Não,Tempo de espera elevado,Reforma/Pensionista,Inovação,96.47
44,2024-05-14,Departamento de Saúde Pública,Balcão Único,80.21,74.96,43,3.7,162,telefone,24.02,1,Não,Precisa melhorias,Utilizador Vulnerável,Digitalização,58.26
45,2024-01-21,Serviços de Educação,Serviços Digitais,93.06,72.48,27,3.5,208,presencial,10.4,13,Sim,Serviço eficiente,Utilizador Vulnerável,Saúde,69.49
46,2024-11-24,Serviços de Educação,Telefone,72.8,73.38,69,3.8,61,presencial,21.16,12,Sim,Tempo de espera elevado,Utilizador Vulnerável,Digitalização,86.49
47,2024-06-15,Direcção de Recursos Humanos,Portal Online,95.82,82.9,20,4.2,269,portal,15.72,3,Sim,Resposta rápida e eficaz,Cidadão,Social,94.11
48,2024-09-30,Direcção de Recursos Humanos,Serviços Digitais,75.57,75.78,11,3.5,68,portal,18.38,4,Sim,Falta de informação,Utilizador Vulnerável,Habitação,83.55
49,2024-03-29,Gabinete de Atendimento ao Cidadão,Portal Online,60.43,80.2,74,4.2,81,presencial,19.19,3,Sim,Sistema lento,Cidadão,Saúde,62.91
50,2024-11-11,Departamento de Inovação e Digitalização,Chatbot,96.22,84.1,104,3.8,157,telefone,12.62,13,Sim,Sistema lento,Utilizador Vulnerável,Habitação,83.73
